reversed_path,pred_0,pred_1,pred_2,mean,deviation,score
"['h1_5', 'h0_5', 'x_3']",0.790681244857069,0.2845850442688518,0.7374281323362399,0.6042314738207203,0.2780995387307074,1.8126944214621608
"['h1_5', 'h0_5', 'x_2']",0.7468430257213747,0.26880662330016625,0.6965424577708522,0.570730702264131,0.26268069757352774,1.712192106792393
"['h1_5', 'h0_5', 'x_0']",0.7070719561728648,0.2544920665028461,0.6594500065094414,0.5403380097283841,0.24869236008834192,1.6210140291851522
"['h1_5', 'h0_2', 'x_3']",0.5683669665195811,0.204568831472874,0.5300869260885464,0.4343409080270004,0.19990684267139763,1.3030227240810013
"['h1_5', 'h0_2', 'x_2']",0.5129144464040476,0.18461014648503013,0.4783691844472511,0.39196459244544296,0.18040300295609893,1.175893777336329
"['h1_5', 'h0_5', 'x_1']",0.48651430900954595,0.1751081071765397,0.4537471207030089,0.3717898456296982,0.17111750885896068,1.1153695368890946
"['h1_5', 'h0_4', 'x_3']",0.4514376456916767,0.16248317918179017,0.42103290307443814,0.34498457598263504,0.1587802946498705,1.034953727947905
"['h1_5', 'h0_4', 'x_2']",0.4426024865745874,0.15930319462440543,0.41279280008858005,0.3382328270958576,0.15567277984405375,1.0146984812875728
"['h1_5', 'h0_1', 'x_0']",0.4240215962075123,0.1526154888743789,0.3954633498585907,0.32403347831349394,0.14913748249901113,0.9721004349404818
"['h1_5', 'h0_2', 'x_0']",0.4228545717661712,0.15219544893481776,0.3943749255918377,0.32314164876427554,0.14872701499274935,0.9694249462928266
"['h1_5', 'h0_1', 'x_2']",0.4189047007394632,0.1507737961154251,0.39069108202891006,0.32012319296126607,0.1473377607038458,0.9603695788837983
"['h1_2', 'h0_5', 'x_3']",0.6531184822009324,0.4279426461342654,0.7014686838933268,0.5941766040761749,0.14597853294473884,1.7825298122285247
"['h1_5', 'h0_1', 'x_3']",0.40887880020666767,0.14716523531356052,0.38134043516207466,0.3124614902274343,0.1438114366236099,0.9373844706823029
"['h1_5', 'h0_4', 'x_0']",0.4074449672436317,0.14664916462146577,0.38000317217412444,0.311365768013074,0.14330712684235378,0.934097304039222
"['h1_1', 'h0_5', 'x_3']",0.6262869026391079,0.41885269936502134,0.6834879655668291,0.5762091891903195,0.1392436320541074,1.7286275675709584
"['h1_2', 'h0_5', 'x_2']",0.6169072386302413,0.4042159628206451,0.6625767308068443,0.561233310752577,0.13788495673060278,1.6836999322577308
"['h1_1', 'h0_5', 'x_2']",0.5915632985846428,0.3956299954754658,0.6455929283365671,0.5442620741322253,0.1315234630290518,1.6327862223966758
"['h1_2', 'h0_5', 'x_0']",0.5840555417574692,0.38269055437965455,0.6272930308396517,0.5313463756589251,0.13054227290687792,1.5940391269767753
"['h1_0', 'h0_5', 'x_3']",0.5458160091431631,0.3887289951888163,0.6386112219219464,0.5243854087513086,0.12631205320215239,1.5731562262539258
"['h1_1', 'h0_5', 'x_0']",0.5600612234763817,0.37456180909140824,0.6112136540197193,0.5152788955291697,0.12451954304153252,1.545836686587509
"['h1_0', 'h0_5', 'x_2']",0.5155540015740909,0.36717645807436117,0.6032043131692435,0.4953115909392318,0.11930885753541261,1.4859347728176955
"['h1_2', 'h0_2', 'x_3']",0.5205379064308779,0.3410719113943068,0.5590732004860333,0.47356100610373936,0.11634544419388779,1.420683018311218
"['h1_0', 'h0_5', 'x_0']",0.48809959235227235,0.3476234865023954,0.571082327872744,0.46893513557580385,0.11295539274110601,1.4068054067274116
"['h1_1', 'h0_2', 'x_3']",0.49864777170721,0.333489275173732,0.5441910881137934,0.45877604499824515,0.11086536626522701,1.3763281349947354
"['h1_2', 'h0_2', 'x_2']",0.4697518114823752,0.3077953521613651,0.5045274233346102,0.42735819565945016,0.10499424247993322,1.2820745869783505
"['h1_1', 'h0_2', 'x_2']",0.4499973799357041,0.3009525131357698,0.4910972789413271,0.414015724004267,0.1000488263973586,1.242047172012801
"['h1_0', 'h0_2', 'x_3']",0.4257604852270761,0.303225707639538,0.4981448311561487,0.4090436746742543,0.09852895510668495,1.2271310240227629
"['h1_5', 'h0_4', 'x_1']",0.2747815956053475,0.0989004520573262,0.25627480121177404,0.20998561629148257,0.09664657595786114,0.6299568488744477
"['h1_5', 'h0_1', 'x_1']",0.26311925082225596,0.09470289592713788,0.24539792612716124,0.20107335762551837,0.09254467936452217,0.6032200728765551
"['h1_2', 'h0_5', 'x_1']",0.40187052511507315,0.26331751528691566,0.43162090191969776,0.36560298077389547,0.08982209398260764,1.0968089423216865
"['h1_0', 'h0_2', 'x_2']",0.3842213155317868,0.2736415997604446,0.449543508599899,0.3691354746307101,0.08891601278796962,1.1074064238921304
"['h1_2', 'h0_2', 'x_0']",0.387270630557142,0.25375123033146996,0.4159401807341311,0.3523206805409143,0.0865588710807958,1.056962041622743
"['h1_1', 'h0_5', 'x_1']",0.38536077801399526,0.25772437747045995,0.42055718084497734,0.35454744544314415,0.08567804013743817,1.0636423363294325
"['h1_2', 'h0_4', 'x_3']",0.38106291850312507,0.2496837528442561,0.4092729132731862,0.34667319487352244,0.08517138516011723,1.0400195846205673
"['h1_5', 'h0_2', 'x_1']",0.2386252922049119,0.08588693583857354,0.2225536582579084,0.18235529543379794,0.08392962919420509,0.5470658863013939
"['h1_2', 'h0_4', 'x_2']",0.3736050745445444,0.24479715176793013,0.40126296694816715,0.33988839775354723,0.08350448221727651,1.0196651932606418
"['h1_1', 'h0_2', 'x_0']",0.37098477284594883,0.24810988841544687,0.40486816278651033,0.34132094134930197,0.08248179387140228,1.023962824047906
"['h1_1', 'h0_4', 'x_3']",0.36671774664068185,0.24525615566643671,0.4002114135430429,0.3373951052833872,0.0815330973165363,1.0121853158501615
"['h1_1', 'h0_4', 'x_2']",0.35954065435883054,0.24045620780998672,0.3923788112935996,0.33079189115413893,0.07993739989303715,0.9923756734624167
"['h1_0', 'h0_5', 'x_1']",0.335846208901334,0.2391889522059545,0.39294405853178094,0.3226597398796898,0.07772110655581682,0.9679792196390694
"['h1_2', 'h0_4', 'x_0']",0.34392826967139906,0.2253520269516385,0.3693891954597654,0.3128898306942676,0.07687141860641358,0.9386694920828029
"['h1_2', 'h0_1', 'x_0']",0.34156221983059987,0.22380172075551757,0.36684798752723463,0.3107373093711174,0.07634258273046339,0.9322119281133521
"['h1_2', 'h0_1', 'x_2']",0.33744040577598583,0.22110098564929184,0.3624210365850416,0.30698747600343973,0.07542131593866182,0.9209624280103192
"['h1_2', 'h0_1', 'x_3']",0.32936423967404393,0.2158092415225017,0.3537469938794331,0.2996401583586596,0.07361621179368863,0.8989204750759787
"['h1_0', 'h0_4', 'x_3']",0.3180927293939122,0.22654496204366675,0.37217227637134404,0.30560332260297435,0.07361261869452257,0.916809967808923
"['h1_1', 'h0_4', 'x_0']",0.3309810373451226,0.22135589990219717,0.36121074048162644,0.3045158925763154,0.07358768255693228,0.9135476777289462
"['h1_0', 'h0_2', 'x_0']",0.31675797198085415,0.2255943506667425,0.3706105943242005,0.30432097232393235,0.07330373081555612,0.9129629169717971
"['h1_1', 'h0_1', 'x_0']",0.3260542879159837,0.21806095266827907,0.35583401309041024,0.2999830845582243,0.07249230840517691,0.8999492536746729
"['h1_0', 'h0_4', 'x_2']",0.3118672851825008,0.2221112139813756,0.3648884326066706,0.29962231059018235,0.07217193423810059,0.898866931770547
"['h1_1', 'h0_1', 'x_2']",0.3221196163730777,0.21542949448207688,0.35153997367061385,0.2963630281752561,0.07161750493369207,0.8890890845257684
"['h1_1', 'h0_1', 'x_3']",0.3144101320256406,0.21027348959672934,0.3431263540499661,0.2892699918907787,0.06990343970691211,0.8678099756723361
"['h1_0', 'h0_4', 'x_0']",0.28709453663254725,0.20446811540864243,0.3359040221884312,0.27582222474320695,0.06643905597804842,0.8274666742296208
"['h1_0', 'h0_1', 'x_0']",0.28206783062090723,0.20088810613027427,0.33002271637372055,0.2709928843749674,0.06527578200561475,0.8129786531249021
"['h1_0', 'h0_1', 'x_2']",0.27866396719249775,0.19846388187132896,0.3260401556813649,0.26772266824839724,0.06448806421929137,0.8031680047451917
"['h1_0', 'h0_1', 'x_3']",0.2719945332801679,0.1937139252929425,0.3182368386863819,0.26131509908649747,0.06294463222563308,0.7839452972594924
"['h1_2', 'h0_4', 'x_1']",0.23194582412790957,0.15197779949910115,0.24911671682796166,0.21101344681832412,0.05184221860442447,0.6330403404549724
"['h1_1', 'h0_4', 'x_1']",0.22321418809530622,0.1492828044564195,0.2436011525452993,0.20536604836567504,0.04962766129297353,0.6160981450970251
"['h1_2', 'h0_2', 'x_1']",0.21854456247946283,0.14319689446017503,0.23472336305336433,0.1988216066643341,0.04884690218272964,0.5964648199930023
"['h1_2', 'h0_1', 'x_1']",0.21195051430123807,0.13887627805897176,0.22764115909931137,0.19282265048650707,0.047373066262514425,0.5784679514595212
"['h1_1', 'h0_2', 'x_1']",0.20935412724564423,0.14001337238657846,0.2284752018782026,0.19261423383680842,0.04654612596936166,0.5778427015104253
"['h1_1', 'h0_1', 'x_1']",0.20232733599222708,0.13531394394257623,0.2208066281973182,0.18614930271070718,0.044983845277096146,0.5584479081321215
"['h1_0', 'h0_4', 'x_1']",0.19361705557231232,0.13789365317846677,0.22653425764859245,0.1860149887997905,0.04480661507654563,0.5580449663993715
"['h1_0', 'h0_2', 'x_1']",0.1787528589473645,0.1273074041100753,0.20914297082201602,0.17173441129315195,0.0413667614199168,0.5152032338794559
"['h1_0', 'h0_1', 'x_1']",0.1750323024530825,0.12465763172645486,0.20478987547625477,0.1681599365519307,0.040505754923267655,0.5044798096557921
"['h1_0', 'h0_0', 'x_0']",,,,,,
"['h1_0', 'h0_0', 'x_1']",,,,,,
"['h1_0', 'h0_0', 'x_2']",,,,,,
"['h1_0', 'h0_0', 'x_3']",,,,,,
"['h1_0', 'h0_3', 'x_0']",,,,,,
"['h1_0', 'h0_3', 'x_1']",,,,,,
"['h1_0', 'h0_3', 'x_2']",,,,,,
"['h1_0', 'h0_3', 'x_3']",,,,,,
"['h1_1', 'h0_0', 'x_0']",,,,,,
"['h1_1', 'h0_0', 'x_1']",,,,,,
"['h1_1', 'h0_0', 'x_2']",,,,,,
"['h1_1', 'h0_0', 'x_3']",,,,,,
"['h1_1', 'h0_3', 'x_0']",,,,,,
"['h1_1', 'h0_3', 'x_1']",,,,,,
"['h1_1', 'h0_3', 'x_2']",,,,,,
"['h1_1', 'h0_3', 'x_3']",,,,,,
"['h1_2', 'h0_0', 'x_0']",,,,,,
"['h1_2', 'h0_0', 'x_1']",,,,,,
"['h1_2', 'h0_0', 'x_2']",,,,,,
"['h1_2', 'h0_0', 'x_3']",,,,,,
"['h1_2', 'h0_3', 'x_0']",,,,,,
"['h1_2', 'h0_3', 'x_1']",,,,,,
"['h1_2', 'h0_3', 'x_2']",,,,,,
"['h1_2', 'h0_3', 'x_3']",,,,,,
"['h1_3', 'h0_0', 'x_0']",,,,,,
"['h1_3', 'h0_0', 'x_1']",,,,,,
"['h1_3', 'h0_0', 'x_2']",,,,,,
"['h1_3', 'h0_0', 'x_3']",,,,,,
"['h1_3', 'h0_1', 'x_0']",,,,,,
"['h1_3', 'h0_1', 'x_1']",,,,,,
"['h1_3', 'h0_1', 'x_2']",,,,,,
"['h1_3', 'h0_1', 'x_3']",,,,,,
"['h1_3', 'h0_2', 'x_0']",,,,,,
"['h1_3', 'h0_2', 'x_1']",,,,,,
"['h1_3', 'h0_2', 'x_2']",,,,,,
"['h1_3', 'h0_2', 'x_3']",,,,,,
"['h1_3', 'h0_3', 'x_0']",,,,,,
"['h1_3', 'h0_3', 'x_1']",,,,,,
"['h1_3', 'h0_3', 'x_2']",,,,,,
"['h1_3', 'h0_3', 'x_3']",,,,,,
"['h1_3', 'h0_4', 'x_0']",,,,,,
"['h1_3', 'h0_4', 'x_1']",,,,,,
"['h1_3', 'h0_4', 'x_2']",,,,,,
"['h1_3', 'h0_4', 'x_3']",,,,,,
"['h1_3', 'h0_5', 'x_0']",,,,,,
"['h1_3', 'h0_5', 'x_1']",,,,,,
"['h1_3', 'h0_5', 'x_2']",,,,,,
"['h1_3', 'h0_5', 'x_3']",,,,,,
"['h1_4', 'h0_0', 'x_0']",,,,,,
"['h1_4', 'h0_0', 'x_1']",,,,,,
"['h1_4', 'h0_0', 'x_2']",,,,,,
"['h1_4', 'h0_0', 'x_3']",,,,,,
"['h1_4', 'h0_1', 'x_0']",,,,,,
"['h1_4', 'h0_1', 'x_1']",,,,,,
"['h1_4', 'h0_1', 'x_2']",,,,,,
"['h1_4', 'h0_1', 'x_3']",,,,,,
"['h1_4', 'h0_2', 'x_0']",,,,,,
"['h1_4', 'h0_2', 'x_1']",,,,,,
"['h1_4', 'h0_2', 'x_2']",,,,,,
"['h1_4', 'h0_2', 'x_3']",,,,,,
"['h1_4', 'h0_3', 'x_0']",,,,,,
"['h1_4', 'h0_3', 'x_1']",,,,,,
"['h1_4', 'h0_3', 'x_2']",,,,,,
"['h1_4', 'h0_3', 'x_3']",,,,,,
"['h1_4', 'h0_4', 'x_0']",,,,,,
"['h1_4', 'h0_4', 'x_1']",,,,,,
"['h1_4', 'h0_4', 'x_2']",,,,,,
"['h1_4', 'h0_4', 'x_3']",,,,,,
"['h1_4', 'h0_5', 'x_0']",,,,,,
"['h1_4', 'h0_5', 'x_1']",,,,,,
"['h1_4', 'h0_5', 'x_2']",,,,,,
"['h1_4', 'h0_5', 'x_3']",,,,,,
"['h1_5', 'h0_0', 'x_0']",,,,,,
"['h1_5', 'h0_0', 'x_1']",,,,,,
"['h1_5', 'h0_0', 'x_2']",,,,,,
"['h1_5', 'h0_0', 'x_3']",,,,,,
"['h1_5', 'h0_3', 'x_0']",,,,,,
"['h1_5', 'h0_3', 'x_1']",,,,,,
"['h1_5', 'h0_3', 'x_2']",,,,,,
"['h1_5', 'h0_3', 'x_3']",,,,,,
